Categories,Correctness,Run,L1_ExtremaSum,L2_ExtremaSum,Categorical_Acc,Numerical_Acc,OneHotEncoding_Acc,BinaryEncoding_Acc,Categorical_Time,Numerical_Time,OneHotEncoding_Time,BinaryEncoding_Time
8,2,1,5,5,1,1,1,0.75,0.006206519,0.003895244,0.005157997,0.0071116815
8,2,2,4,4,1,1,1,1,0.003794191,0.003156885,0.004432843,0.0069299215
8,2,3,3,3,1,1,1,0.75,0.004104085,0.003382704,0.005961298,0.0067446585
8,2,4,7,7,1,1,1,0.75,0.003529029,0.003135866,0.004934603,0.0067310505
8,2,5,7,7,1,1,1,0.75,0.004081719,0.003422856,0.00467537,0.011150689
8,2,6,4,4,1,1,1,1,0.003951833,0.005097904,0.00546897,0.007917543
8,2,7,2,2,1,1,1,1,0.003145028,0.003403454,0.007538528,0.0082006245
8,2,8,2,2,1,1,1,1,0.003286772,0.003937281,0.005004397,0.007606974
8,2,9,1,1,1,1,1,0.75,0.003506662,0.00517713,0.00474651,0.0071570875
8,2,10,1,1,1,1,1,0.75,0.003600708,0.003501542,0.004809029,0.006991631
8,2,11,7,7,1,1,1,0.75,0.005754072,0.003482679,0.004623901,0.0101080945
8,2,12,7,7,1,1,1,0.75,0.005988784,0.003306712,0.005180363,0.007192389
8,2,13,6,6,1,1,1,0.75,0.003427976,0.003362493,0.00481334,0.00680785
8,2,14,1,1,1,1,1,1,0.003464894,0.00340561,0.005246115,0.0070831175
8,2,15,2,2,1,1,1,1,0.003634123,0.005028919,0.005401871,0.0117068825
8,2,16,6,6,1,1,1,0.75,0.006107622,0.004472456,0.005887732,0.0067577275
8,2,17,5,5,1,1,1,0.75,0.00336411,0.003552473,0.004502098,0.006609786
8,2,18,1,1,1,1,1,0.75,0.003600169,0.003571875,0.005409416,0.007095244
8,2,19,1,1,1,1,1,0.75,0.004437963,0.006839243,0.004609348,0.0069192765
8,2,20,5,5,1,1,1,0.75,0.003869643,0.005322376,0.008056457,0.0074167255
8,2,21,2,2,1,1,1,1,0.006381677,0.003827605,0.005484599,0.0077469655
8,2,22,1,1,1,1,1,1,0.004220498,0.004683993,0.005074729,0.007339656
8,2,23,1,1,1,1,1,1,0.005388397,0.005333694,0.005071766,0.0076341905
8,2,24,5,5,1,1,1,0.75,0.004474612,0.005388128,0.004289483,0.0069091715
8,2,25,1,1,1,1,1,1,0.003536843,0.003662957,0.006546056,0.0070964565
8,2,26,2,2,1,1,1,0.75,0.003440641,0.003568911,0.007343429,0.006740751
8,2,27,6,6,1,1,1,0.75,0.003299706,0.003180329,0.005664877,0.0109219045
8,2,28,2,2,1,1,1,1,0.003309676,0.003262789,0.004414519,0.0115484315
8,2,29,1,1,1,1,1,1,0.003230451,0.003363301,0.004769146,0.007249113
8,2,30,7,7,1,1,1,0.75,0.004666477,0.003750267,0.004620128,0.0070055095
8,2,31,6,6,1,1,1,0.75,0.004203251,0.004862923,0.006859724,0.005999968
8,2,32,3,3,1,1,1,0.75,0.005520978,0.003354948,0.004375445,0.0072493825
8,2,33,7,7,1,1,1,0.75,0.003509896,0.004979605,0.005148565,0.007016288
8,2,34,1,1,1,1,1,0.75,0.004726569,0.003517441,0.006968591,0.0070026795
8,2,35,1,1,1,1,1,1,0.003577803,0.003618224,0.004810645,0.007385601
8,2,36,2,2,1,1,1,1,0.005097096,0.003655412,0.005228599,0.007367951
8,2,37,6,6,1,1,1,0.75,0.003347403,0.003281383,0.004723606,0.0066779635
8,2,38,6,6,1,1,1,0.75,0.004854839,0.003603133,0.004703125,0.009032355
8,2,39,3,3,1,1,1,0.75,0.003735446,0.004104355,0.004732229,0.00696913
8,2,40,2,2,1,1,1,1,0.00384054,0.003513937,0.004853761,0.0072623175
8,2,41,2,2,1,1,1,1,0.003714426,0.003816287,0.009719918,0.007718671
8,2,42,1,1,1,1,1,1,0.003352792,0.003452228,0.006399732,0.0075763885
8,2,43,5,5,1,1,1,0.75,0.005004666,0.004830856,0.008063193,0.008869728
8,2,44,3,3,1,1,1,0.75,0.004629829,0.003345247,0.007893964,0.00947308
8,2,45,1,1,1,1,1,1,0.003430671,0.005596431,0.009525088,0.0091637235
8,2,46,1,1,1,1,1,1,0.003374889,0.003388902,0.006057231,0.0099703935
8,2,47,2,2,1,1,1,1,0.003391327,0.004314544,0.004540902,0.0094352185
8,2,48,3,3,1,1,1,0.75,0.004209449,0.004897416,0.005954562,0.0061312015
8,2,49,1,1,1,1,1,1,0.003108649,0.003013525,0.004619319,0.00611665
8,2,50,7,7,1,1,1,0.75,0.003050982,0.002979572,0.004038334,0.005872776
8,2,51,1,1,1,1,1,0.75,0.003329078,0.003206199,0.004568119,0.008441669
8,2,52,5,5,1,1,1,0.75,0.00333393,0.004815226,0.005447681,0.0066743255
8,2,53,2,2,1,1,1,1,0.004655967,0.006005492,0.006620431,0.0078329285
8,2,54,4,4,1,1,1,1,0.003654873,0.00355894,0.007972919,0.0127377535
8,2,55,4,4,1,1,1,1,0.003430671,0.003340936,0.00489553,0.0070304355
